DISTRICT_NAME;SCORE
Sisli;7,73
Besiktas;6,365
Kadikoy;4,678
Bakirkoy;4,457
Fatih;3,501
Tuzla;2,78
Basaksehir;2,67
Umraniye;2,656
Beyoglu;2,602
Uskudar;2,57
Atasehir;2,402
Buyukcekmece;2,278
Sariyer;2,166
Beylikduzu;2,163
Esenyurt;2,074
Bahcelievler;2,042
Zeytinburnu;2,027
Bagcilar;2,012
Kucukcekmece;1,955
Maltepe;1,928
Pendik;1,906
Bayrampasa;1,855
Beykoz;1,812
Kartal;1,804
Kagithane;1,692
Adalar;1,688
Gungoren;1,628
Eyup;1,608
Silivri;1,518
Avcilar;1,451
Gaziosmanpasa;1,378
Sile;1,259
Cekmekoy;1,208
Catalca;1,015
Sancaktepe;1,003
Esenler;0,936
Sultanbeyli;0,645
Sultangazi;0,583
Arnavutkoy;0,47
